name,strasse,link,lat,long
Josef Reinhardt,Neckartalstr. 145,,48.8114824,9.216418599999999
Julietta Reinhardt,Stuttgarter Str. 114,,48.8089052,9.1572554
Maria Reinhardt,Auf der Steig 108,http://www.stolpersteine-cannstatt.de/node/160,48.81858159999999,9.212953700000002
Marie-Adelheid Reinhardt,Stuttgarter Str. 114,,48.8089052,9.1572554
Roswitha Reinhardt,Stuttgarter Str. 114,,48.8089052,9.1572554
Rudi Reinhardt,Stuttgarter Str. 114,,48.8089052,9.1572554
Willy Friedrich Reinhardt,Ruhrstr. 39,,48.80283,9.23465
Bertha Reis,Rosenbergstr. 149,http://www.stolpersteine-stuttgart.de/index.php?docid=703&mid=66,48.7760227,9.149000599999999
Anna Reiss,Theodor-Heuss-Str. 5,http://www.stolpersteine-stuttgart.de/index.php?docid=527&mid=66,48.7775287,9.174844499999999
Dr. Moritz Reiss,Theodor-Heuss-Str. 5,http://www.stolpersteine-stuttgart.de/index.php?docid=527&mid=66,48.7775287,9.174844499999999
Klara Luise Renz,Haldenstraße 8,http://www.stolpersteine-cannstatt.de/node/115,48.8085493,9.2063845
Wilhelm Renz,Bussenstr. 47,,48.77871,9.20093
Heinrich Rexer,Furtwänglerstr. 18,http://www.stolpersteine-stuttgart.de/index.php?docid=708&mid=66,48.77984499999999,9.1261044
Maria Rexer,Furtwänglerstr. 18,http://www.stolpersteine-stuttgart.de/index.php?docid=708&mid=66,48.77984499999999,9.1261044
Heinrich Richheimer,Leuschnerstr. 48B,,48.77605,9.16347
Arthur Richnowsky,Eberhardstr. 33,http://www.stolpersteine-stuttgart.de/index.php?docid=656&mid=66,48.7736342,9.1787871
Frieda Richnowsky,Eberhardstr. 33,http://www.stolpersteine-stuttgart.de/index.php?docid=656&mid=66,48.7736342,9.1787871
Anna Maria Rieg,Nelkenweg 8,http://www.stolpersteine-stuttgart.de/index.php?docid=930&mid=66,48.787547,9.2126255
Abraham Rimpel,Sophienstr. 5,http://www.stolpersteine-stuttgart.de/index.php?docid=659&mid=66,48.7698465,9.1764897
Rosa Rimpel,Sophienstr. 5,http://www.stolpersteine-stuttgart.de/index.php?docid=659&mid=66,48.719651,9.234350
Anna Robertson,Einkornstraße 28,,48.78205000000001,9.204419999999999
Ernst Rohatsch,Nägelesäcker 55,http://www.stolpersteine-stuttgart.de/index.php?docid=313&mid=66,48.79392,9.2607
Dina Rohrbacher,Gablenberger Hauptstr. 161,,48.77223,9.202869999999999
Moritz Rohrbacher,Gablenberger Hauptstr. 161,,48.77223,9.202869999999999
Emil Rohrer,Weimarstr. 17,http://www.stolpersteine-stuttgart.de/index.php?docid=648&mid=66,48.77538999999999,9.166839999999999
Rosa Rosen,Reutlinger Str. 73,http://www.stolpersteine-stuttgart.de/index.php?docid=723&mid=66,48.74333,9.175989999999999
Adolf Rosenfeld,Alexanderstr. 177,http://www.stolpersteine-stuttgart.de/index.php?docid=491&mid=66,48.76387,9.17689
Betty Rosenfeld,Breitscheidstr. 35,,48.77820029999999,9.165596599999999
Bona Rosenfeld,Payerstr. 12,,48.7696041,9.1950751
Charlotte Rosenfeld,Breitscheidstr. 35,,48.77820029999999,9.165596599999999
Theresia Rosenfeld,Breitscheidstr. 35,,48.77820029999999,9.165596599999999
Fritz Rosenfelder,König-Karl-Straße 66,http://www.stolpersteine-cannstatt.de/node/33,48.8027509,9.2153298
Sofie Rosenfelder,Haußmannstr. 6,http://www.stolpersteine-stuttgart.de/index.php?docid=691&mid=66,48.77864,9.19104
